********************************************************************************
LOGGING TIME: 20201001_163822
CLIENT IP: 192.168.1.101
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 123, 315, 8
MM, 120, 315, 8
MM, 118, 312, 4
MM, 117, 311, 8
MM, 115, 310, 8
MM, 114, 309, 8
MM, 113, 308, 4
MM, 111, 307, 8
MM, 110, 306, 8
MM, 109, 305, 8
MM, 107, 305, 4
MM, 107, 304, 8
MM, 106, 303, 9
MM, 106, 302, 4
MM, 106, 302, 8
MM, 105, 302, 8
MM, 105, 301, 8
MM, 104, 300, 4
MM, 104, 300, 8
MM, 103, 300, 8
MM, 103, 299, 8
MM, 103, 298, 5
MM, 102, 297, 7
MM, 101, 297, 9
MM, 101, 296, 7
MM, 101, 295, 4
MM, 100, 295, 8
MM, 99, 295, 8
MM, 99, 293, 9
MM, 98, 292, 3
MM, 98, 292, 8
MM, 98, 291, 8
MM, 98, 290, 8
MM, 98, 290, 8
MM, 97, 290, 4
MM, 97, 289, 8
MM, 97, 288, 8
MM, 96, 288, 8
MM, 96, 287, 12
MM, 96, 287, 16
MM, 95, 287, 4
MM, 95, 286, 8
MM, 94, 286, 227
MM, 93, 286, 14
MM, 93, 286, 4
MM, 93, 286, 8
MM, 92, 286, 8
MM, 92, 287, 8
MM, 91, 288, 8
MM, 91, 289, 4
MM, 90, 289, 8
MM, 89, 289, 8
MM, 88, 290, 8
MM, 88, 291, 7
MM, 88, 291, 4
MM, 87, 292, 8
MM, 86, 293, 8
MM, 86, 293, 8
MM, 86, 293, 4
MM, 86, 294, 8
MM, 85, 295, 8
MM, 84, 296, 8
MM, 84, 296, 4
MM, 83, 297, 16
MM, 82, 298, 8
MM, 82, 298, 8
MM, 82, 299, 4
MM, 81, 300, 8
MM, 81, 301, 8
MM, 80, 301, 12
MM, 80, 302, 8
MM, 80, 303, 8
MM, 79, 303, 8
MM, 79, 304, 4
MM, 79, 305, 9
MM, 78, 306, 12
MM, 78, 307, 16
MM, 78, 308, 4
MM, 78, 309, 8
MM, 78, 309, 10
MM, 78, 310, 3
MM, 78, 310, 8
MM, 78, 310, 8
MM, 79, 311, 8
MM, 80, 311, 12
MM, 81, 311, 10
MM, 82, 311, 4
MM, 83, 311, 8
MM, 83, 311, 16
MM, 84, 311, 4
MM, 85, 311, 8
MM, 85, 312, 16
MM, 86, 312, 12
MM, 86, 313, 8
MM, 86, 314, 12
MM, 86, 314, 8
MM, 86, 315, 16
MM, 86, 317, 4
MM, 85, 320, 8
MM, 83, 322, 9
MM, 81, 325, 8
MM, 79, 327, 4
MM, 77, 328, 8
MM, 76, 331, 8
MM, 74, 332, 8
MM, 73, 334, 4
MM, 70, 336, 9
MM, 69, 337, 8
MM, 69, 338, 4
MM, 68, 339, 8
MM, 68, 339, 8
MM, 67, 340, 8
MM, 67, 342, 4
MM, 67, 344, 8
MM, 67, 346, 8
MM, 68, 349, 8
MM, 69, 351, 4
MM, 70, 354, 8
MM, 71, 357, 8
MM, 73, 360, 8
MM, 74, 361, 4
MM, 74, 364, 16
MM, 74, 364, 8
MM, 74, 365, 8
MM, 74, 366, 4
MM, 74, 366, 8
MM, 74, 367, 8
MM, 74, 368, 12
MM, 74, 370, 8
MM, 74, 372, 8
MM, 72, 376, 8
MM, 71, 380, 4
MM, 71, 383, 8
MM, 69, 387, 8
MM, 69, 390, 8
MM, 68, 392, 4
MM, 68, 394, 8
MM, 68, 395, 8
MM, 68, 397, 8
MM, 68, 399, 4
MM, 69, 399, 10
MM, 74, 400, 4
MM, 79, 402, 8
MM, 91, 405, 8
MM, 105, 408, 8
MM, 124, 412, 4
MM, 146, 421, 8
MM, 162, 431, 8
MM, 172, 442, 8
MM, 180, 453, 4
MM, 187, 465, 8
MM, 193, 479, 8
MM, 198, 493, 7
MM, 205, 511, 8
MM, 210, 528, 4
MM, 214, 540, 8
MM, 219, 553, 8
MM, 223, 565, 8
MM, 227, 576, 4
MM, 231, 586, 8
MM, 236, 599, 8
MM, 245, 613, 8
MM, 259, 638, 4
MM, 276, 665, 8
MM, 294, 687, 8
MM, 307, 705, 8
MM, 319, 719, 4
MM, 330, 731, 8
MM, 339, 740, 8
MM, 390, 744, 244
MM, 457, 759, 8
MM, 527, 776, 8
MM, 602, 799, 4
MM, 677, 825, 12
MM, 731, 844, 4
MM, 776, 860, 8
MM, 811, 872, 8
MM, 845, 882, 8
MM, 866, 891, 4
MM, 880, 893, 8
MM, 888, 893, 8
MM, 894, 894, 8
MM, 895, 894, 4
MM, 897, 894, 8
MM, 897, 894, 20
MM, 897, 894, 8
MM, 896, 894, 8
MM, 894, 895, 8
MM, 888, 897, 4
MM, 879, 900, 8
MM, 871, 903, 8
MM, 860, 907, 8
MM, 848, 913, 4
MM, 837, 915, 8
MM, 829, 918, 8
MM, 821, 922, 9
MM, 814, 923, 3
MM, 809, 924, 8
MM, 803, 925, 8
MM, 800, 926, 8
MM, 798, 926, 8
MM, 796, 927, 4
MM, 795, 927, 8
MM, 793, 928, 9
MM, 791, 928, 4
MM, 789, 929, 8
MM, 787, 929, 8
MM, 784, 930, 8
MM, 782, 931, 4
MM, 780, 932, 8
MM, 777, 934, 8
MM, 774, 935, 8
MM, 772, 937, 8
MM, 771, 938, 4
MM, 769, 940, 8
MM, 768, 940, 8
MM, 767, 941, 8
MM, 767, 942, 12
MM, 767, 942, 8
MM, 770, 942, 8
MM, 775, 942, 4
MM, 782, 942, 8
MM, 787, 942, 8
MM, 793, 941, 8
MM, 794, 941, 4
MM, 797, 941, 8
MM, 798, 941, 16
MM, 798, 941, 12
MM, 797, 943, 20
MM, 794, 945, 8
MM, 792, 948, 8
MM, 787, 950, 8
MM, 784, 955, 8
MM, 778, 959, 4
MM, 772, 963, 8
MM, 766, 968, 8
MM, 760, 973, 8
MM, 756, 976, 4
MM, 752, 978, 8
MM, 749, 981, 8
MM, 747, 983, 8
MM, 746, 983, 4
MM, 746, 983, 8
MM, 745, 983, 8
MM, 744, 983, 16
MM, 743, 983, 52
MM, 743, 984, 16
MM, 742, 984, 12
MM, 742, 985, 8
MM, 741, 985, 16
MM, 741, 985, 12
MM, 740, 986, 24
MM, 740, 987, 4
MM, 739, 988, 8
MM, 739, 988, 8
MM, 738, 989, 8
MM, 738, 990, 4
MM, 738, 993, 8
MM, 737, 995, 8
MM, 736, 998, 8
MM, 735, 999, 4
MM, 734, 1003, 8
