********************************************************************************
LOGGING TIME: 20201002_034950
CLIENT IP: 192.168.1.102
USERNAME: nishanth
OS: Windows 10
ARCHITECTURE: x86
VERSION: 10.0
RESOLUTION: 1920.0 1080.0
********************************************************************************
MM, 228, 1010, 4
MM, 227, 1006, 8
MM, 226, 1002, 8
MM, 225, 1000, 8
MM, 223, 996, 4
MM, 223, 994, 8
MM, 222, 992, 8
MM, 221, 991, 4
MM, 220, 989, 8
MM, 219, 987, 8
MM, 218, 986, 8
MM, 216, 984, 4
MM, 216, 983, 9
MM, 214, 982, 7
MM, 211, 982, 9
MM, 210, 980, 4
MM, 209, 980, 8
MM, 207, 978, 8
MM, 205, 977, 4
MM, 205, 977, 8
MM, 204, 976, 8
MM, 203, 976, 8
MM, 203, 975, 20
MM, 202, 974, 8
MM, 201, 974, 20
MM, 201, 973, 20
MM, 201, 972, 16
MM, 201, 972, 12
MM, 201, 971, 8
MM, 201, 970, 8
MM, 201, 969, 12
MM, 201, 967, 8
MM, 201, 965, 8
MM, 201, 963, 8
MM, 202, 960, 4
MM, 202, 958, 8
MM, 203, 958, 8
MM, 203, 956, 8
MM, 203, 954, 4
MM, 203, 954, 8
MM, 203, 953, 16
MM, 203, 952, 14
MM, 203, 952, 21
MM, 203, 951, 12
MM, 203, 950, 15
MM, 200, 950, 555
MM, 197, 950, 8
MM, 194, 951, 4
MM, 189, 951, 8
MM, 185, 951, 8
MM, 181, 952, 8
MM, 177, 952, 4
MM, 174, 952, 8
MM, 170, 952, 8
MM, 166, 952, 8
MM, 162, 952, 4
MM, 160, 952, 8
MM, 156, 951, 8
MM, 154, 951, 8
MM, 153, 951, 4
MM, 151, 950, 8
MM, 148, 950, 8
MM, 148, 950, 8
MM, 147, 950, 12
MM, 146, 950, 16
MM, 145, 950, 32
MM, 145, 950, 16
MM, 144, 950, 20
MM, 143, 950, 28
MM, 143, 949, 8
MM, 142, 949, 224
MM, 142, 949, 8
MM, 141, 949, 8
MM, 141, 950, 4
MM, 141, 950, 8
MM, 140, 951, 8
MM, 139, 951, 8
MM, 139, 951, 4
MM, 138, 951, 8
MM, 138, 952, 8
MM, 137, 952, 8
MM, 137, 953, 12
MM, 136, 953, 8
MM, 136, 953, 8
MM, 136, 953, 4
MM, 135, 954, 16
MM, 135, 955, 28
MM, 135, 956, 12
MM, 135, 956, 16
MM, 135, 956, 8
MM, 135, 956, 4
MM, 136, 957, 8
MM, 137, 957, 8
MM, 137, 958, 8
MM, 138, 958, 4
MM, 139, 958, 8
MM, 140, 958, 8
MM, 141, 958, 8
MM, 142, 959, 4
MM, 143, 959, 8
MM, 144, 959, 8
MM, 145, 960, 8
MM, 145, 960, 4
MM, 146, 960, 8
MM, 147, 960, 8
MM, 148, 960, 8
MM, 148, 960, 4
MM, 149, 960, 16
MM, 150, 960, 12
MM, 150, 960, 36
MM, 151, 960, 16
MM, 152, 960, 20
