**********************************
LOGGING TIME: 20201103_145845
CLIENT IP: 192.168.137.1
USERNAME: izazuhur
OS: Windows 10
*********************Neutral database**********************************
MM, 199, 8, 8
MM, 198, 8, 8
MM, 197, 8, 8
MM, 195, 8, 16
MM, 194, 9, 48
MM, 194, 10, 8
MM, 193, 10, 8
MM, 193, 11, 16
MM, 192, 11, 6
MM, 191, 11, 34
MM, 190, 11, 32
MM, 189, 11, 16
MM, 188, 11, 8
MM, 186, 11, 8
MM, 185, 11, 7
MM, 183, 11, 17
MM, 182, 12, 14
MM, 179, 14, 1
MM, 177, 14, 7
MM, 175, 14, 18
MM, 174, 14, 7
MC, 1, 113
MM, 173, 14, 24
MM, 172, 13, 16
MM, 170, 12, 7
MM, 163, 9, 8
MM, 154, 5, 8
MM, 145, 0, 9
MM, 43, 31, 7
MM, 33, 23, 9
MM, 29, 18, 8
MM, 25, 12, 7
MM, 24, 9, 9
MM, 23, 6, 7
MM, 23, 4, 8
MM, 21, 29, 24
MM, 21, 25, 9
MM, 21, 22, 8
MM, 21, 19, 7
MM, 21, 18, 16
MM, 20, 17, 9
MM, 20, 16, 7
MM, 20, 14, 8
MM, 19, 13, 17
MM, 19, 10, 8
MM, 19, 9, 7
MM, 19, 8, 17
MM, 19, 7, 8
MM, 19, 6, 7
MM, 19, 4, 17
MM, 19, 3, 7
MM, 19, 2, 16
MM, 19, 1, 8
MM, 19, 0, 25
MC, 1, 337
MM, 37, 1, 47
MM, 40, 4, 8
MM, 44, 7, 8
MM, 46, 8, 8
MM, 1, 11, 119
MM, 2, 12, 9
MM, 4, 14, 16
MM, 5, 14, 7
MM, 6, 15, 8
MM, 8, 17, 8
MM, 9, 17, 17
MM, 9, 18, 8
MC, 1, 184
MM, 8, 18, 31
MM, 6, 18, 8
MM, 4, 18, 8
MM, 0, 18, 8
MM, 44, 15, 17
MM, 39, 12, 8
MM, 33, 10, 8
MM, 27, 10, 8
MM, 23, 7, 8
MM, 16, 4, 7
MM, 12, 1, 16
MC, 1, 680
MC, 1, 817
MM, 14, 7, 80
MM, 17, 13, 7
MM, 19, 20, 19
MM, 23, 29, 2
MM, 28, 8, 11
MM, 28, 14, 8
MM, 28, 22, 9
MM, 28, 31, 8
MM, 21, 4, 15
MM, 21, 8, 8
MM, 22, 9, 8
MM, 22, 10, 8
MM, 23, 12, 120
MM, 23, 13, 7
MM, 25, 13, 10
MM, 25, 14, 8
MM, 25, 15, 8
MM, 26, 15, 8
MM, 26, 16, 15
MM, 21, 10, 224
MM, 20, 9, 16
MM, 19, 8, 8
MM, 18, 7, 8
MM, 14, 3, 8
MM, 11, 0, 8
MM, 12, 31, 16
MM, 7, 27, 8
MM, 2, 22, 8
MM, 42, 18, 17
MM, 37, 15, 7
MM, 34, 12, 10
MM, 33, 9, 6
MM, 32, 6, 8
MM, 30, 5, 9
MM, 29, 1, 8
MM, 22, 29, 23
MM, 15, 24, 8
MM, 11, 21, 8
MM, 6, 17, 8
MM, 4, 15, 8
MM, 42, 12, 176
MM, 41, 12, 8
MM, 40, 12, 8
MM, 39, 12, 10
MM, 37, 12, 7
MM, 35, 12, 7
MM, 34, 12, 9
MM, 33, 12, 7
MM, 32, 12, 9
MM, 31, 12, 7
MM, 30, 12, 32
MC, 1, 240
MM, 30, 13, 8
